Date	Price	Volume
04/04/2011	25.83	2609300
04/05/2011	26.7	3180900
04/06/2011	26.49	1288300
04/07/2011	27.24	2810300
04/08/2011	26.49	1946400
04/11/2011	25.27	1369400
04/12/2011	24.65	1357400
04/13/2011	24.93	1211500
04/14/2011	25.14	983400
04/15/2011	25.58	943500
04/18/2011	25.03	1033900
04/19/2011	25.16	548700
04/20/2011	25.75	837200
04/21/2011	26.74	1386100
04/25/2011	26.39	800900
04/26/2011	26.93	1400000
04/27/2011	27.08	996900
04/28/2011	27.66	1600000
04/29/2011	27.6	726000
05/02/2011	27.45	784600
05/03/2011	26.87	913900
05/04/2011	26.69	1044500
05/05/2011	26.44	1218500
05/06/2011	27.12	981700
05/09/2011	27.91	916400
05/10/2011	28.33	1535300
05/11/2011	27.07	962500
05/12/2011	27.67	628000
05/13/2011	27.55	661500
05/16/2011	26.6	755700
05/17/2011	25.96	1234200
05/18/2011	26.35	729500
05/19/2011	28.2	2655100
05/20/2011	27.97	842500
05/23/2011	26.82	863600
05/24/2011	26.72	613700
05/25/2011	28.98	4693100
05/26/2011	29.48	3336900
05/27/2011	29.55	1687100
05/31/2011	30.14	3290500
06/01/2011	28.52	1529900
06/02/2011	28.76	986300
06/03/2011	30.13	6209200
06/06/2011	28.7	2331100
06/07/2011	28.37	1222100
06/08/2011	27.12	1695900
06/09/2011	27.62	1603200
06/10/2011	27.86	1566600
06/13/2011	28.43	1713400
06/14/2011	28.6	1573400
06/15/2011	27.32	1345000
06/16/2011	26.5	1842200
06/17/2011	26.5	1714000
06/20/2011	26.01	1537800
06/21/2011	27.53	1496000
06/22/2011	27.21	1475600
06/23/2011	27.71	1170000
06/24/2011	27.57	3608500
06/27/2011	27.46	1809400
06/28/2011	28.11	889200
06/29/2011	28.29	1461800
06/30/2011	29.13	946700
07/01/2011	29.02	854900
07/05/2011	29.14	996000
07/06/2011	28.96	926900
07/07/2011	29.73	1327900
07/08/2011	28.81	1240600
07/11/2011	28.35	975800
07/12/2011	28.17	1045400
07/13/2011	28.64	1066000
07/14/2011	27.61	1159000
07/15/2011	27.58	709000
07/18/2011	27.23	851900
07/19/2011	27.89	1026100
07/20/2011	28.69	3048300
07/21/2011	28.7	1011500
07/22/2011	29.29	583500
07/25/2011	28.49	673300
07/26/2011	28.0	760600
07/27/2011	27.64	958500
07/28/2011	28.17	938700
07/29/2011	28.17	948200
08/01/2011	28.77	1164900
08/02/2011	27.34	1549400
08/03/2011	27.2	1794500
08/04/2011	24.75	3064500
08/05/2011	24.24	1964400
08/08/2011	23.64	2608500
08/09/2011	25.06	1333400
08/10/2011	23.82	1564200
08/11/2011	25.3	836500
08/12/2011	26.31	1009100
08/15/2011	26.23	738600
08/16/2011	26.1	537700
08/17/2011	25.83	643700
08/18/2011	24.26	1056600
08/19/2011	22.3	1375300
08/22/2011	21.95	986100
08/23/2011	22.96	869000
08/24/2011	23.87	684300
08/25/2011	23.11	679800
08/26/2011	23.73	761800
08/29/2011	24.71	803400
08/30/2011	24.63	366200
08/31/2011	24.74	823800
09/01/2011	24.0	848100
09/02/2011	23.07	769900
09/06/2011	22.94	809800
09/07/2011	23.84	459200
09/08/2011	23.61	505700
09/09/2011	22.97	669300
09/12/2011	22.88	566600
09/13/2011	24.08	726500
09/14/2011	24.34	830800
09/15/2011	24.82	562600
09/16/2011	25.8	1417100
09/19/2011	25.77	1157400
09/20/2011	26.01	1180400
09/21/2011	25.85	987600
09/22/2011	25.63	775800
09/23/2011	26.38	1156400
09/26/2011	25.52	934800
09/27/2011	26.19	674500
09/28/2011	24.59	723300
09/29/2011	24.12	929600
09/30/2011	24.39	1336100
10/03/2011	23.73	1023200
10/04/2011	23.66	1200300
10/05/2011	25.37	1229500
10/06/2011	26.96	1769100
10/07/2011	26.99	1311600
10/10/2011	27.88	923500
10/11/2011	27.61	575700
10/12/2011	27.8	1123400
10/13/2011	27.94	1043500
10/14/2011	28.05	1400500
10/17/2011	27.42	754500
10/18/2011	28.34	999700
10/19/2011	27.57	792900
10/20/2011	27.34	999700
10/21/2011	28.03	1142600
10/24/2011	28.55	940600
10/25/2011	28.25	654400
10/26/2011	27.98	510500
10/27/2011	28.76	869400
10/28/2011	29.87	1264000
10/31/2011	29.37	1134000
11/01/2011	28.88	635200
11/02/2011	28.71	875300
11/03/2011	32.46	2509700
11/04/2011	32.31	3032900
11/07/2011	31.27	1266300
11/08/2011	31.84	1167900
11/09/2011	30.88	953700
11/10/2011	31.33	747300
11/11/2011	33.64	3868300
11/14/2011	33.22	1325700
11/15/2011	33.93	891000
11/16/2011	34.94	1833200
11/17/2011	33.68	1349300
11/18/2011	32.6	902800
11/21/2011	31.76	1031600
11/22/2011	32.07	732600
11/23/2011	31.45	451800
11/25/2011	31.66	239600
11/28/2011	32.56	681200
11/29/2011	31.75	591100
11/30/2011	32.74	760300
12/01/2011	32.6	1030200
12/02/2011	33.3	802800
12/05/2011	34.42	1160100
12/06/2011	34.87	951800
12/07/2011	34.19	674300
12/08/2011	30.89	3305800
12/09/2011	31.04	1239500
12/12/2011	30.41	758700
12/13/2011	29.45	994100
12/14/2011	28.53	1163900
12/15/2011	28.62	700300
12/16/2011	28.0	1029700
12/19/2011	27.75	987000
12/20/2011	27.9	843300
12/21/2011	27.57	1705500
12/22/2011	27.77	1009400
12/23/2011	27.9	591400
12/27/2011	28.57	777500
12/28/2011	28.51	575200
12/29/2011	28.73	488200
12/30/2011	28.56	339800
01/03/2012	28.08	928100
01/04/2012	27.71	630100
01/05/2012	27.12	1005500
01/06/2012	26.91	986300
01/09/2012	27.25	897000
01/10/2012	27.62	671800
01/11/2012	28.23	672300
01/12/2012	28.25	729300
01/13/2012	22.79	5500400
01/17/2012	26.6	4651600
01/18/2012	26.81	1260200
01/19/2012	26.76	1246300
01/20/2012	26.6	662300
01/23/2012	26.77	594600
01/24/2012	27.42	858000
01/25/2012	27.97	611200
01/26/2012	28.94	1271100
01/27/2012	29.33	748400
01/30/2012	29.57	729000
01/31/2012	29.07	956400
02/01/2012	29.58	523200
02/02/2012	30.25	805700
02/03/2012	31.15	764500
02/06/2012	31.8	652100
02/07/2012	31.6	1021600
02/08/2012	31.93	623700
02/09/2012	32.58	1277100
02/10/2012	31.1	1874200
02/13/2012	31.49	1157900
02/14/2012	33.17	1810800
02/15/2012	33.6	2761800
02/16/2012	34.18	2219700
02/17/2012	34.97	1376700
02/21/2012	34.5	1135800
02/22/2012	34.22	1654600
02/23/2012	34.53	820400
02/24/2012	33.75	959900
02/27/2012	33.62	606000
02/28/2012	33.81	612200
02/29/2012	33.41	535700
03/01/2012	34.41	703500
03/02/2012	34.04	550000
03/05/2012	33.77	467000
03/06/2012	33.11	573800
03/07/2012	33.12	364900
03/08/2012	33.07	633300
03/09/2012	34.74	1553400
03/12/2012	36.01	1963300
03/13/2012	36.09	1001600
03/14/2012	35.29	851500
03/15/2012	35.0	571600
03/16/2012	35.32	729300
03/19/2012	34.98	1015600
03/20/2012	34.96	567000
03/21/2012	35.15	607200
03/22/2012	34.4	522400
03/23/2012	34.08	1170600
03/26/2012	37.4	3140500
03/27/2012	37.94	2539200
03/28/2012	37.85	955000
03/29/2012	37.33	796400
03/30/2012	37.24	886400
04/02/2012	36.58	1028600
04/03/2012	38.01	1098100
04/04/2012	35.0	4481800
04/05/2012	34.48	1509400
04/09/2012	33.15	1655700
04/10/2012	32.46	1847700
04/11/2012	33.09	1105500
04/12/2012	33.44	1033900
04/13/2012	33.59	649600
04/16/2012	32.25	1099600
04/17/2012	32.24	1115500
04/18/2012	32.66	823100
04/19/2012	33.16	774900
04/20/2012	33.16	821800
04/23/2012	31.94	890800
